Year,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peak_Fre_2,3.0,nan,nan,nan,1.0,1.0,1.0,nan,nan,2.0,nan,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,2.0,3.0,3.0,1.0,1.0,nan,nan,nan,nan,1.0,1.0,nan,nan,2.0,nan,3.0,nan,nan,nan,nan
Peak_Fre_5,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.0,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,127.0,504.0,41.0,160.0,342.0,96.0,201.0,5.8,3.1,133.0,250.0,450.0,410.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2090.0,399.0,2240.0,79.0,329.0,520.0,59.0,252.0,228.0,1380.0,163.0,335.0,614.0,644.0,61.7,493.0,1800.0,662.0,945.0,9.04,490.0
SP_Tim,192.0,156.0,203.0,132.0,176.0,210.0,193.0,197.0,229.0,202.0,183.0,161.0,175.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,177.0,168.0,121.0,228.0,196.0,164.0,207.0,178.0,219.0,152.0,195.0,202.0,153.0,151.0,177.0,198.0,178.0,199.0,88.0,212.0,135.0
SP_Dur,48.0,108.0,58.0,148.0,33.0,38.0,50.0,63.0,48.0,31.0,32.0,92.0,38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.0,110.0,38.0,27.0,77.0,29.0,31.0,43.0,29.0,36.0,19.0,29.0,19.0,28.0,10.0,34.0,36.0,35.0,23.0,32.0,20.0
SP_ROC,0.060024009603841535,0.06666666666666667,0.054093567251461985,0.05555555555555558,0.053418803418803416,0.061224489795918366,0.058823529411764705,0.050000000000000044,0.04880952380952379,0.06896551724137931,0.07692307692307693,0.07185886402753872,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04391025641025641,0.05952380952380952,0.05555555555555555,0.05263157894736842,0.0625,0.06666666666666667,0.052469135802469105,0.06415094339622639,0.06362221069019203,0.07499999999999996,0.0702576112412178,0.05319148936170213,0.08227848101265826,0.060975609756097456,0.054945054945054944,0.08292682926829265,0.05309734513274328,0.06130790190735697,0.09055319148936171,0.06237842617152968,0.09460834181078329
DS_Mag_50,2.5,1.1,0.98,0.45,2.8,3.9,3.3,0.58,0.26,2.0,2.1,1.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.7,1.8,3.55,6.3,3.3,3.3,0.8,0.57,1.25,2.145,2.28,3.52,1.4249999999999998,1.82,2.125,2.0,3.39,0.34,0.88,0.17,0.345
DS_Mag_90,8.9,2.4,2.1,33.000000000000085,13.200000000000017,11.0,7.4,1.45,1.1900000000000004,8.640000000000004,7.0299999999999985,4.2200000000000015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,3.4,21.0,18.700000000000017,4.630000000000001,14.0,3.068000000000001,6.191,7.206000000000003,8.881000000000007,15.040000000000003,14.8,7.16,7.846000000000002,9.355000000000002,12.160000000000002,16.1,2.78,6.7,0.46,3.8710000000000004
DS_Tim,240.0,264.0,261.0,280.0,209.0,248.0,243.0,260.0,277.0,233.0,215.0,253.0,213.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,220.0,278.0,159.0,255.0,273.0,193.0,238.0,221.0,248.0,188.0,214.0,231.0,172.0,179.0,187.0,232.0,214.0,234.0,111.0,244.0,155.0
DS_Dur_WS,220.0,152.0,161.0,179.0,189.0,232.0,244.0,186.0,162.0,229.0,230.0,219.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,249.0,131.0,298.0,214.0,198.0,285.0,179.0,210.0,197.0,258.0,227.0,256.0,282.0,313.0,278.0,208.0,300.0,181.0,381.0,181.0,270.0
