Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
DS_Dur_WS,220.0,250.0,192.0,252.0,171.0,175.0,213.0,251.0,189.0,161.0,276.0,297.0,103.0,147.0,179.0,272.0,157.0,195.0,264.0,118.0,147.0,361.0,230.0,165.0,257.0,181.0,189.0,229.0,266.0,308.0,293.0,257.0,173.0,270.0,224.0,291.0,253.0,178.0
DS_No_Flow,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,189.0,0.0,0.0,19.0,46.0,0.0,0.0,8.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,nan,45.0,44.0,64.0,nan,33.0,nan,nan,nan,nan,62.0,nan,nan,40.0,nan,66.0,nan,nan,nan,nan,nan,44.0,48.0,28.0,nan,0.0,nan,52.0,38.0,64.0,44.0,39.0,41.0,nan,55.0,48.0,29.0
FA_Mag,nan,nan,39.99252894451893,22.92066144685836,4.493207406284734,nan,1.2923835742306375,nan,nan,nan,nan,261.98386424022465,nan,nan,6.375948310806565,nan,72.98710539323862,nan,nan,nan,nan,nan,11.978265171538343,6.004991937764048,2.8722610635776364,nan,1.2429506924245173,nan,8.704281920696179,4.606230655704485,21.97315795539521,3.296984257376893,7.875792869908812,13.988040889420683,nan,19.984249305001494,5.107749880992757,1.0909273435058644
Wet_Tim,69.0,85.0,72.0,106.0,84.0,73.0,84.0,112.0,121.0,90.0,27.0,107.0,117.0,4.0,73.0,35.0,102.0,33.0,102.0,128.0,50.0,66.0,97.0,82.0,57.0,111.0,77.0,91.0,92.0,127.0,140.0,144.0,105.0,46.0,25.0,118.0,130.0,55.0
FA_Dur,nan,nan,3.0,5.0,4.0,nan,2.0,nan,nan,nan,nan,2.0,nan,nan,10.0,nan,2.0,nan,nan,nan,nan,nan,28.0,3.0,8.0,nan,5.0,nan,4.0,2.0,2.0,5.0,3.0,7.0,nan,6.0,6.0,4.0
Wet_BFL_Mag_10,0.3,3.66,2.1,1.6,0.9000000000000001,0.5,1.2,5.800000000000001,2.1,1.1,0.3,1.4,3.12,1.0,0.7,3.340000000000001,2.3600000000000017,0.73,13.8,1.7900000000000003,1.56,0.07,1.0790000000000002,3.7600000000000002,2.2,2.1,0.366,4.9,5.08,3.0,2.3499999999999996,1.5,24.9,4.4,1.3,1.2,nan,0.59
Wet_BFL_Mag_50,0.6,9.6,12.0,2.4,1.8,5.55,1.9,32.0,2.7,2.6,1.0,48.0,7.2,1.7,2.3,11.0,5.95,1.5,36.0,3.4,2.3,0.08,26.5,8.8,10.0,2.55,1.1,44.0,14.0,50.5,11.0,2.7,57.0,5.2,2.0,11.0,nan,1.2
Wet_BFL_Dur,145.0,85.0,36.0,78.0,165.0,48.0,150.0,79.0,21.0,123.0,94.0,53.0,94.0,201.0,121.0,90.0,104.0,197.0,89.0,30.0,117.0,25.0,78.0,105.0,119.0,88.0,147.0,109.0,89.0,34.0,36.0,52.0,100.0,43.0,180.0,51.0,nan,151.0
Peak_Dur_2,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
