Year,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,6.0,1.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,3.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,2.0,nan,1.0,nan,nan,nan,4.0,2.0,3.0,3.0,nan,1.0,nan,nan,2.0,1.0,nan,5.0,nan,nan,1.0,nan,nan,1.0,2.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,3.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,6273.96,33125.79,18359.21,14566.8,15649.84,21920.3,15022.45,60075.76,28649.9,162491.98,23104.99,17044.83,35926.29,15029.46,15747.98,23504.55,31692.25,45109.4,39536.44,15972.3,7682.97,33641.03,17465.44,23062.92,23693.83,54467.76,nan
SP_Tim,208.0,179.0,246.0,192.0,171.0,218.0,165.0,216.0,234.0,97.0,181.0,211.0,153.0,179.0,182.0,219.0,152.0,234.0,197.0,148.0,240.0,220.0,242.0,180.0,183.0,69.0,nan
SP_Dur,81.0,116.0,67.0,114.0,136.0,128.0,123.0,120.0,93.0,185.0,170.0,131.0,171.0,118.0,122.0,80.0,149.0,105.0,140.0,135.0,83.0,86.0,108.0,163.0,112.0,238.0,nan
SP_ROC,0.03209776717864627,0.030120141684888233,0.027303572190687585,0.03009386886275597,0.027601250423225726,0.03204506941116529,0.026461486839161972,0.028388169617855723,0.02931795713691404,0.044378576365360155,0.030860608777294584,0.026457164168501874,0.02710515369968215,0.024325158734104853,0.025452085526957064,0.027006064116341703,0.028682935366050717,0.031111007662552426,0.03164082588382032,0.044322107006378196,0.025299917229012543,0.033104110700712105,0.02937326704310829,0.030041497153923936,0.03200634959654423,0.02908122013852156,nan
DS_Mag_50,1057.11,1277.75,877.825,1045.365,980.525,1394.29,973.34,1327.87,1206.0700000000002,1167.87,1571.64,1344.52,1225.7,859.43,945.825,1176.63,1115.29,1355.38,1342.42,1011.89,1235.86,1179.6100000000001,1716.0500000000002,1298.255,1060.96,nan,nan
DS_Mag_90,3367.1860000000006,1611.071,1141.824,1671.3600000000001,2797.065000000003,2061.9260000000004,3057.3460000000005,2247.615,1492.356,1852.1860000000001,2168.966,2717.43,2632.606000000001,1069.162,1200.1170000000002,1918.078,3128.9880000000003,2116.5340000000006,1921.79,1302.8780000000002,3564.59,2190.275,5808.845000000001,1954.74,1456.33,nan,nan
DS_Tim,289.0,295.0,313.0,306.0,307.0,346.0,288.0,336.0,327.0,282.0,351.0,342.0,324.0,297.0,304.0,299.0,301.0,339.0,337.0,283.0,323.0,306.0,350.0,343.0,295.0,307.0,nan
DS_Dur_WS,207.0,72.0,182.0,156.0,144.0,65.0,157.0,78.0,72.0,115.0,45.0,111.0,159.0,89.0,102.0,117.0,115.0,75.0,83.0,137.0,161.0,146.0,64.0,116.0,101.0,nan,nan
