Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peak_2,9629.8,9629.8,9629.8,9629.8,9629.8,9629.8,9629.8,9629.8,9629.8,9629.8,9629.8,9629.8,9629.8,9629.8
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_5,9524.5,9524.5,9524.5,9524.5,9524.5,9524.5,9524.5,9524.5,9524.5,9524.5,9524.5,9524.5,9524.5,9524.5
Peak_Dur_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_10,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004,8695.000000000004
Peak_Dur_20,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_20,nan,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_20,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0,6884.0
Peak_Dur_50,3.0,4.0,2.0,nan,5.0,nan,nan,nan,nan,1.0,3.0,1.0,nan,nan
Peak_Fre_50,3.0,3.0,2.0,nan,4.0,nan,nan,nan,nan,1.0,2.0,1.0,nan,nan
Peak_50,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0,4815.0
Dur_2,9.0,18.0,7.0,2.0,15.0,4.0,5.0,4.0,5.0,10.0,11.0,5.0,4.0,4.0
Fre_2,6.0,5.0,4.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0
High_2,2565.3999999999996,2565.3999999999996,2565.3999999999996,2565.3999999999996,2565.3999999999996,2565.3999999999996,2565.3999999999996,2565.3999999999996,2565.3999999999996,2565.3999999999996,2565.3999999999996,2565.3999999999996,2565.3999999999996,2565.3999999999996
Dur_5,22.0,29.0,17.0,11.0,46.0,20.0,14.0,10.0,15.0,22.0,18.0,12.0,9.0,15.0
Fre_5,8.0,6.0,7.0,7.0,12.0,5.0,4.0,5.0,7.0,9.0,4.0,2.0,3.0,6.0
High_5,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0,1520.0
Dur_10,44.0,52.0,35.0,25.0,81.0,30.0,24.0,27.0,42.0,48.0,35.0,22.0,19.0,29.0
Fre_10,6.0,8.0,9.0,9.0,11.0,7.0,6.0,8.0,12.0,9.0,5.0,5.0,5.0,5.0
High_10,921.3999999999996,921.3999999999996,921.3999999999996,921.3999999999996,921.3999999999996,921.3999999999996,921.3999999999996,921.3999999999996,921.3999999999996,921.3999999999996,921.3999999999996,921.3999999999996,921.3999999999996,921.3999999999996
Dur_20,88.0,104.0,86.0,75.0,124.0,61.0,45.0,59.0,93.0,90.0,73.0,40.0,36.0,51.0
Fre_20,11.0,6.0,5.0,9.0,7.0,7.0,7.0,6.0,11.0,8.0,7.0,7.0,4.0,8.0
High_20,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0
