Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Peak_Fre_20,1.0,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_20,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001,7200.000000000001
Peak_Dur_50,1.0,nan,nan,2.0,nan,2.0,nan,1.0,1.0,1.0,nan,1.0,1.0,nan,3.0,1.0,1.0,nan,1.0,3.0,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan
Peak_Fre_50,1.0,nan,nan,1.0,nan,2.0,nan,1.0,1.0,1.0,nan,1.0,1.0,nan,2.0,1.0,1.0,nan,1.0,3.0,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan
Peak_50,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0,5340.0
Dur_2,4.0,10.0,6.0,5.0,nan,17.0,3.0,21.0,6.0,6.0,4.0,7.0,6.0,nan,8.0,4.0,6.0,3.0,17.0,18.0,6.0,nan,9.0,18.0,6.0,nan,nan,14.0,3.0,13.0
Fre_2,2.0,5.0,2.0,3.0,nan,4.0,1.0,6.0,3.0,3.0,4.0,4.0,4.0,nan,3.0,2.0,3.0,2.0,9.0,5.0,3.0,nan,4.0,6.0,3.0,nan,nan,5.0,3.0,3.0
High_2,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007,1654.2000000000007
Dur_5,16.0,29.0,27.0,19.0,4.0,31.0,5.0,50.0,13.0,13.0,16.0,14.0,10.0,3.0,24.0,11.0,18.0,9.0,39.0,33.0,15.0,1.0,32.0,33.0,17.0,nan,nan,34.0,12.0,26.0
Fre_5,8.0,8.0,7.0,7.0,4.0,8.0,1.0,10.0,4.0,4.0,7.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,1.0,6.0,8.0,6.0,nan,nan,9.0,8.0,6.0
High_5,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0,830.0
Dur_10,43.0,55.0,44.0,41.0,18.0,56.0,21.0,80.0,21.0,28.0,42.0,36.0,34.0,8.0,41.0,29.0,41.0,24.0,61.0,45.0,41.0,4.0,56.0,69.0,35.0,nan,nan,58.0,24.0,45.0
Fre_10,12.0,8.0,6.0,7.0,6.0,3.0,7.0,7.0,3.0,5.0,4.0,5.0,8.0,3.0,5.0,8.0,12.0,9.0,7.0,5.0,7.0,3.0,7.0,10.0,7.0,nan,nan,8.0,6.0,7.0
High_10,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
Dur_20,101.0,110.0,79.0,83.0,42.0,80.0,48.0,132.0,50.0,54.0,77.0,59.0,74.0,28.0,78.0,87.0,102.0,59.0,84.0,85.0,82.0,32.0,101.0,151.0,75.0,14.0,nan,110.0,40.0,82.0
Fre_20,7.0,4.0,7.0,7.0,5.0,3.0,7.0,7.0,5.0,7.0,6.0,6.0,9.0,3.0,5.0,6.0,5.0,6.0,5.0,4.0,7.0,8.0,3.0,3.0,6.0,4.0,nan,8.0,3.0,9.0
High_20,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0
