Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
DS_Dur_WS,nan,nan,nan,nan,nan,nan,nan,227.0,264.0,236.0,238.0,nan,nan,184.0,248.0,nan,nan,nan,233.0,214.0,291.0,223.0,222.0,117.0,178.0,242.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,249.0,233.0,273.0,241.0,222.0,298.0,209.0,228.0,191.0,264.0,232.0,244.0,214.0,nan,nan,209.0,nan,nan,nan,nan,217.0,216.0
DS_No_Flow,nan,nan,nan,nan,nan,nan,nan,194.0,233.0,183.0,190.0,nan,nan,132.0,140.0,nan,nan,nan,204.0,190.0,191.0,202.0,94.0,5.0,122.0,202.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,163.0,146.0,179.0,117.0,198.0,210.0,201.0,221.0,184.0,248.0,173.0,144.0,205.0,nan,nan,172.0,nan,nan,nan,nan,211.0,208.0
FA_Tim,nan,nan,nan,12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,nan,nan,nan,nan,nan,nan,nan,nan,54.0,48.0,nan,nan,62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,72.0,nan,56.0,nan,nan,nan,62.0,nan,nan,nan,nan,44.0,67.0,nan,12.0,38.0,nan,nan,nan,nan,nan
FA_Mag,nan,nan,nan,147.7355728460951,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.03172589019514,nan,nan,nan,nan,nan,nan,nan,nan,2.2804900835702693,22.98187158564057,nan,nan,3.4484832185122913,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.805035793798304,nan,3.067887574223422,nan,nan,nan,1.850424926392185,nan,nan,nan,nan,5.019654370211371,1.6215375506764498,nan,21.101027097545806,1.266560598765267,nan,nan,nan,nan,nan
Wet_Tim,109.0,nan,nan,nan,nan,73.0,nan,102.0,111.0,102.0,98.0,50.0,nan,74.0,31.0,118.0,nan,nan,92.0,93.0,78.0,113.0,75.0,105.0,33.0,37.0,104.0,nan,nan,nan,nan,nan,nan,84.0,nan,87.0,101.0,60.0,90.0,105.0,110.0,126.0,62.0,67.0,76.0,80.0,74.0,122.0,68.0,nan,90.0,69.0,nan,50.0,nan,46.0,65.0
FA_Dur,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,23.0,nan,8.0,nan,nan,nan,6.0,nan,nan,nan,nan,2.0,8.0,nan,4.0,5.0,nan,nan,nan,nan,nan
Wet_BFL_Mag_10,0.0,nan,nan,nan,nan,0.5,nan,0.5,0.0,0.1690000000000001,0.0,0.0,nan,1.4600000000000002,1.1,0.87,nan,nan,1.4600000000000002,0.312,0.5660000000000001,0.05100000000000001,2.5,2.9,2.6,0.42800000000000005,1.61,nan,nan,nan,nan,nan,nan,1.198,nan,2.99,3.9740000000000038,1.2,8.300000000000004,2.7,0.9260000000000002,0.07700000000000001,0.08800000000000005,0.01,0.02,0.3280000000000001,2.1,0.0,0.0,nan,0.058000000000000045,0.03,nan,0.0,nan,0.0,0.0
Wet_BFL_Mag_50,0.8,nan,nan,nan,nan,1.55,nan,4.45,1.3,24.5,8.05,7.15,nan,12.0,4.6,3.9,nan,nan,5.6,2.1,2.6,0.35,7.85,13.0,4.8,1.2,4.65,nan,nan,nan,nan,nan,nan,5.9,nan,9.05,19.0,7.9,20.0,6.5,13.5,1.1,1.2,0.5,0.925,3.9699999999999998,7.91,1.92,1.2850000000000001,nan,2.81,2.38,nan,1.85,nan,1.52,1.24
Wet_BFL_Dur,27.0,nan,nan,nan,nan,122.0,nan,104.0,76.0,52.0,18.0,58.0,nan,100.0,155.0,75.0,nan,nan,99.0,103.0,83.0,62.0,124.0,153.0,139.0,143.0,62.0,nan,nan,nan,nan,nan,nan,68.0,nan,90.0,59.0,61.0,99.0,91.0,50.0,68.0,99.0,151.0,76.0,102.0,151.0,31.0,82.0,nan,115.0,109.0,nan,38.0,nan,89.0,104.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
