Year,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Peak_50,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,224.0,224.0,224.0,224.0,224.0,224.0,224.0
Dur_2,nan,18.0,6.0,10.0,nan,nan,17.0,2.0,14.0,3.0,18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,11.0,11.0,nan,5.0,6.0,8.0
Fre_2,nan,5.0,3.0,6.0,nan,nan,5.0,2.0,2.0,1.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,4.0,4.0,nan,4.0,3.0,4.0
High_2,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,86.0,86.0,86.0,86.0,86.0,86.0,86.0
Dur_5,2.0,36.0,23.0,24.0,nan,nan,37.0,10.0,31.0,6.0,44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.0,29.0,33.0,1.0,12.0,10.0,23.0
Fre_5,2.0,5.0,8.0,6.0,nan,nan,6.0,4.0,5.0,2.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,6.0,10.0,1.0,5.0,3.0,8.0
High_5,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Dur_10,5.0,64.0,52.0,46.0,nan,nan,64.0,25.0,49.0,11.0,98.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,68.0,67.0,2.0,22.0,17.0,48.0
Fre_10,3.0,6.0,6.0,4.0,nan,nan,10.0,4.0,5.0,2.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,5.0,6.0,1.0,4.0,3.0,8.0
High_10,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Dur_20,16.0,106.0,115.0,88.0,nan,nan,130.0,65.0,103.0,31.0,166.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.0,125.0,106.0,9.0,54.0,28.0,121.0
Fre_20,4.0,2.0,7.0,4.0,nan,nan,3.0,5.0,5.0,4.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,6.0,6.0,2.0,4.0,2.0,6.0
High_20,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.7,7.7,7.7,7.7,7.7,7.7,7.7
