Year,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926
FA_Tim,nan,27.0,24.0,46.0,1.0,59.0,36.0,28.0,17.0,nan,13.0,nan,41.0,nan,nan,64.0,1.0,nan,1.0,2.0,13.0,nan,40.0,0.0,29.0,63.0
FA_Mag,nan,999.9528459722015,279.98980727341456,518.0007648643993,2749.985666092186,127.9987043848596,237.9674299638379,284.0134382059561,199.99716926353628,nan,305.00074436429935,nan,263.96234956643036,nan,nan,693.9984454708585,1079.9938485872674,nan,3379.9504998357097,104.99969875055541,266.99911846495354,nan,1079.999809716759,274.9993007462941,482.999971438685,499.9936034833785
Wet_Tim,nan,125.0,99.0,119.0,nan,130.0,101.0,84.0,82.0,32.0,87.0,180.0,150.0,nan,nan,80.0,120.0,120.0,116.0,134.0,91.0,113.0,161.0,164.0,108.0,106.0
FA_Dur,nan,3.0,7.0,4.0,0.0,3.0,7.0,8.0,2.0,nan,5.0,nan,3.0,nan,nan,3.0,5.0,nan,10.0,0.0,3.0,nan,5.0,3.0,3.0,3.0
Wet_BFL_Mag_10,nan,319.6,189.20000000000005,340.0,nan,1350.0,1140.0,334.0,724.9999999999999,523.0,692.0,607.5,264.0,nan,nan,715.0,404.0,211.0,203.00000000000003,267.0,638.5000000000001,441.0,1012.0,250.0,377.8,97.5
Wet_BFL_Mag_50,nan,1950.0,1740.0,2180.0,nan,4680.0,4800.0,890.0,2790.0,1610.0,3960.0,1085.0,932.0,nan,nan,2960.0,1950.0,2105.0,1400.0,1610.0,1790.0,2180.0,2705.0,1100.0,2100.0,782.0
Wet_BFL_Dur,nan,130.0,147.0,120.0,nan,149.0,147.0,157.0,188.0,207.0,172.0,70.0,88.0,nan,nan,176.0,141.0,130.0,122.0,111.0,162.0,137.0,96.0,61.0,133.0,96.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,nan,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,nan,nan,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996,31055.999999999996
Peak_Dur_5,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,nan,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,nan,nan,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999,23599.99999999999
Peak_Dur_10,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,nan,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,nan,nan,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0,20160.0
Peak_Dur_20,nan,nan,nan,nan,nan,3.0,4.0,nan,3.0,nan,3.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_20,nan,nan,nan,nan,nan,3.0,2.0,nan,3.0,nan,2.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_20,nan,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,nan,nan,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011,15540.000000000011
Peak_Dur_50,nan,nan,1.0,3.0,nan,24.0,16.0,nan,10.0,2.0,20.0,nan,nan,nan,nan,2.0,2.0,3.0,nan,nan,1.0,8.0,nan,nan,1.0,nan
Peak_Fre_50,nan,nan,1.0,3.0,nan,8.0,5.0,nan,4.0,2.0,5.0,nan,nan,nan,nan,2.0,1.0,3.0,nan,nan,1.0,4.0,nan,nan,1.0,nan
Peak_50,nan,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,nan,nan,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0,9280.0
Dur_2,nan,nan,2.0,12.0,2.0,40.0,25.0,nan,13.0,2.0,30.0,nan,nan,nan,nan,3.0,6.0,4.0,1.0,2.0,1.0,23.0,1.0,nan,1.0,nan
Fre_2,nan,nan,2.0,3.0,2.0,9.0,5.0,nan,4.0,2.0,6.0,nan,nan,nan,nan,3.0,3.0,4.0,1.0,1.0,1.0,8.0,1.0,nan,1.0,nan
