Year,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941
DS_Dur_WS,114.0,80.0,136.0,222.0,206.0,76.0,176.0,120.0,208.0,157.0,nan,217.0,179.0,225.0,202.0,217.0,202.0,179.0,180.0,185.0,206.0,127.0,158.0,125.0,184.0,101.0,163.0,168.0,143.0,167.0,54.0,115.0,181.0,160.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
FA_Tim,67.0,16.0,nan,11.0,0.0,41.0,30.0,0.0,64.0,2.0,nan,1.0,72.0,nan,nan,40.0,3.0,29.0,nan,55.0,26.0,nan,72.0,8.0,41.0,nan,nan,49.0,nan,nan,71.0,nan,2.0,nan
FA_Mag,1179.8698270481373,679.9842006692056,nan,791.9919318065694,1419.9974123104123,494.9754894815377,459.9855982672063,1059.999516432889,1039.982495538012,1799.9863804136353,nan,10899.902890477544,2159.8608736902193,nan,nan,1689.860302018386,960.0119832501798,639.9955974670982,nan,3459.9732665594893,1659.9744160687671,nan,793.9580122774463,809.9841709378046,363.99272984991717,nan,nan,973.9947162150609,nan,nan,37898.96598161368,nan,1119.9756543744315,nan
Wet_Tim,139.0,84.0,33.0,91.0,203.0,170.0,76.0,157.0,84.0,168.0,129.0,nan,164.0,136.0,189.0,160.0,166.0,111.0,152.0,117.0,154.0,142.0,122.0,154.0,111.0,135.0,38.0,150.0,113.0,107.0,111.0,14.0,104.0,109.0
FA_Dur,5.0,3.0,nan,4.0,2.0,5.0,8.0,4.0,5.0,4.0,nan,10.0,4.0,nan,nan,3.0,0.0,3.0,nan,2.0,2.0,nan,4.0,4.0,2.0,nan,nan,2.0,nan,nan,2.0,nan,0.0,nan
Wet_BFL_Mag_10,880.0,1650.0,948.5,1430.0,1160.0,615.0,1062.0,1940.0,1351.0000000000002,1940.0,568.8000000000001,nan,1300.0,1400.0,2252.0,1620.0,395.9,528.0,1254.0,1328.0,885.0,564.5,631.4,582.8,1476.0,1104.0,628.4000000000001,1518.0,858.0,1630.0,2194.0,838.0000000000001,1502.0,2160.0
Wet_BFL_Mag_50,1930.0,3675.0,2540.0,7320.0,3380.0,1640.0,4300.0,4610.0,5635.0,5090.0,3000.0,nan,3260.0,3500.0,10050.0,3700.0,1420.0,2160.0,3820.0,3540.0,2700.0,1620.0,1660.0,1140.0,3140.0,2000.0,1220.0,5130.0,3160.0,4320.0,6820.0,1200.0,3710.0,4490.0
Wet_BFL_Dur,77.0,186.0,214.0,203.0,49.0,69.0,188.0,98.0,180.0,96.0,128.0,nan,81.0,133.0,74.0,97.0,60.0,131.0,85.0,143.0,91.0,120.0,137.0,68.0,159.0,125.0,185.0,120.0,117.0,161.0,162.0,193.0,155.0,171.0
Peak_Dur_2,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_2,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999,38205.99999999999
Peak_Dur_5,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_5,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_5,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978,31399.999999999978
Peak_Dur_10,nan,1.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_Fre_10,nan,1.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan
Peak_10,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0,26170.0
Peak_Dur_20,nan,11.0,2.0,19.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,17.0,nan,nan,nan
Peak_Fre_20,nan,4.0,2.0,6.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,7.0,nan,nan,nan
Peak_20,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004,15860.000000000004
Peak_Dur_50,nan,44.0,4.0,51.0,6.0,nan,25.0,8.0,24.0,10.0,nan,1.0,2.0,3.0,34.0,nan,nan,nan,nan,4.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,8.0,54.0,nan,nan,20.0
Peak_Fre_50,nan,9.0,3.0,10.0,1.0,nan,7.0,2.0,5.0,3.0,nan,1.0,1.0,2.0,8.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,4.0,8.0,nan,nan,6.0
Peak_50,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0,10800.0
Dur_2,nan,40.0,4.0,50.0,6.0,nan,18.0,7.0,15.0,8.0,nan,nan,2.0,2.0,29.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,7.0,47.0,nan,nan,16.0
Fre_2,nan,8.0,3.0,10.0,1.0,nan,5.0,2.0,3.0,3.0,nan,nan,1.0,1.0,6.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,9.0,nan,nan,6.0
High_2,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0,11300.0
Dur_5,nan,67.0,25.0,82.0,10.0,nan,61.0,29.0,47.0,27.0,22.0,1.0,8.0,8.0,51.0,14.0,nan,1.0,nan,21.0,1.0,nan,nan,nan,11.0,nan,nan,5.0,1.0,18.0,73.0,nan,1.0,39.0
Fre_5,nan,11.0,8.0,13.0,1.0,nan,12.0,3.0,9.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,nan,1.0,nan,3.0,1.0,nan,nan,nan,3.0,nan,nan,2.0,1.0,7.0,8.0,nan,1.0,6.0
High_5,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985,8598.499999999985
Dur_10,5.0,90.0,53.0,123.0,16.0,4.0,98.0,50.0,92.0,49.0,24.0,32.0,25.0,20.0,69.0,28.0,nan,15.0,17.0,47.0,3.0,1.0,nan,nan,46.0,7.0,nan,36.0,27.0,54.0,106.0,nan,38.0,69.0
Fre_10,1.0,6.0,7.0,7.0,2.0,2.0,6.0,5.0,7.0,7.0,2.0,2.0,1.0,4.0,2.0,4.0,nan,2.0,5.0,5.0,1.0,1.0,nan,nan,7.0,2.0,nan,8.0,6.0,7.0,9.0,nan,9.0,4.0
High_10,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015,6134.000000000015
Dur_20,34.0,116.0,92.0,164.0,36.0,26.0,155.0,105.0,153.0,99.0,64.0,61.0,62.0,72.0,94.0,83.0,2.0,71.0,56.0,87.0,36.0,10.0,11.0,nan,86.0,21.0,nan,91.0,92.0,112.0,167.0,5.0,98.0,127.0
Fre_20,6.0,8.0,8.0,5.0,3.0,6.0,8.0,6.0,6.0,4.0,4.0,5.0,4.0,7.0,4.0,6.0,1.0,6.0,5.0,8.0,5.0,4.0,3.0,nan,7.0,2.0,nan,3.0,9.0,10.0,6.0,4.0,8.0,13.0
High_20,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146,3514.0000000000146
