Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DS_Dur_WS,167.0,180.0,177.0,183.0,74.0,74.0,102.0,116.0,110.0,161.0,245.0,138.0,114.0,159.0,151.0,97.0,194.0,206.0,197.0,104.0,199.0,161.0,138.0,95.0,159.0,71.0,80.0,173.0,209.0,134.0,197.0,112.0,201.0,207.0,178.0,124.0,160.0,112.0,125.0,190.0,88.0,159.0,197.0,141.0,143.0,196.0,170.0,126.0,127.0,225.0,213.0,166.0,107.0,198.0,125.0,233.0,146.0,249.0
DS_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,9.0,44.0,nan,5.0,26.0,nan,5.0,28.0,nan,nan,1.0,42.0,15.0,nan,41.0,11.0,nan,27.0,29.0,44.0,0.0,61.0,24.0,11.0,6.0,22.0,nan,10.0,20.0,26.0,nan,33.0,nan,30.0,25.0,29.0,10.0,39.0,nan,nan,8.0,nan,27.0,27.0,29.0,38.0,38.0,18.0,27.0,34.0,9.0,3.0,13.0,23.0,4.0,nan,0.0,14.0
FA_Mag,1709.9912055685677,89.99956777795555,nan,65.99533211933218,84.99398971304785,nan,131.99637216233603,173.99755321116962,nan,nan,103.00021843854881,188.99256420273957,95.05444637635689,nan,289.9711430489965,113.9944987085026,nan,96.97284763443,201.90048558023742,64.98200947182113,80.00040943518366,114.99339015622232,1449.7602709649577,77.98093116256975,88.99773446666028,833.9855088294103,nan,98.98994293605182,191.98835624576938,108.99665689275379,nan,202.9876681485408,nan,65.92018453580171,66.9942155451195,124.99224465220473,75.99338906283472,76.99897870507465,nan,nan,84.00110136019678,nan,130.99766548779687,149.96050592696193,94.98806662564058,308.9957369006152,269.99634487078663,224.9761234032505,87.09867219579698,102.99594674153646,97.84387766218896,83.69194574998235,446.9926649395543,683.9803926184238,155.982842517686,nan,82.09988151418257,68.98743431131551
Wet_Tim,115.0,91.0,109.0,111.0,117.0,4.0,7.0,50.0,31.0,39.0,98.0,162.0,66.0,30.0,101.0,73.0,16.0,126.0,144.0,168.0,45.0,146.0,88.0,77.0,23.0,103.0,26.0,29.0,93.0,124.0,51.0,138.0,15.0,121.0,127.0,123.0,64.0,91.0,58.0,44.0,87.0,47.0,97.0,137.0,76.0,67.0,123.0,105.0,75.0,64.0,136.0,136.0,95.0,56.0,157.0,44.0,126.0,41.0
FA_Dur,2.0,2.0,nan,5.0,8.0,nan,3.0,8.0,nan,nan,0.0,2.0,4.0,nan,4.0,4.0,nan,4.0,6.0,8.0,5.0,4.0,4.0,4.0,5.0,4.0,nan,7.0,3.0,4.0,nan,8.0,nan,5.0,3.0,4.0,2.0,5.0,nan,nan,3.0,nan,6.0,4.0,4.0,2.0,4.0,3.0,3.0,7.0,7.0,3.0,3.0,4.0,0.0,nan,1.0,5.0
Wet_BFL_Mag_10,427.0,255.8,155.4,250.00000000000003,186.0,119.0,121.20000000000002,231.2,135.4,208.1,221.40000000000003,419.5,202.1,199.3,195.0,187.2,314.0,255.2,165.0,61.400000000000006,312.4,177.20000000000002,261.0,120.0,270.0,463.0,314.80000000000007,143.0,170.5,196.8,148.0,205.0,67.0,67.6,409.6,314.6,94.80000000000001,485.6,143.00000000000003,138.0,345.6,165.40000000000003,472.8,170.0,199.2,307.0,242.5,414.20000000000005,373.1,136.0,339.8,325.0,295.6,266.6,315.5,158.0,64.12,82.11000000000001
Wet_BFL_Mag_50,1000.0,604.5,531.0,710.0,605.5,370.0,264.5,433.0,274.0,436.0,517.0,1415.0,502.5,570.0,690.0,398.0,735.0,617.0,364.0,159.0,819.0,619.5,463.0,422.0,570.0,936.0,519.0,213.0,678.5,686.0,412.0,809.5,158.0,349.0,657.0,1100.0,275.0,1000.0,607.0,379.5,1020.0,404.0,894.5,545.0,441.0,848.0,981.0,692.0,729.0,321.0,550.0,590.0,656.0,762.0,738.0,305.5,247.5,341.0
Wet_BFL_Dur,119.0,138.0,139.0,137.0,106.0,231.0,222.0,163.0,189.0,198.0,138.0,66.0,52.0,214.0,113.0,157.0,226.0,120.0,81.0,73.0,207.0,84.0,126.0,138.0,217.0,141.0,203.0,171.0,68.0,89.0,181.0,86.0,229.0,117.0,89.0,123.0,159.0,147.0,175.0,52.0,169.0,193.0,142.0,93.0,123.0,177.0,96.0,138.0,162.0,128.0,97.0,84.0,157.0,203.0,56.0,146.0,38.0,94.0
Peak_Dur_2,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
