Year,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Peak_10,nan,66.50000000000003,66.50000000000003,66.50000000000003,nan,66.50000000000003,nan,nan,66.50000000000003,nan,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,nan,nan,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,nan,nan,nan,66.50000000000003,nan,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003,66.50000000000003
Peak_Dur_20,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,84.0,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,84.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_Fre_20,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,5.0,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan
Peak_20,nan,28.60000000000001,28.60000000000001,28.60000000000001,nan,28.60000000000001,nan,nan,28.60000000000001,nan,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,nan,nan,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,nan,nan,nan,28.60000000000001,nan,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001,28.60000000000001
Peak_Dur_50,nan,131.0,nan,nan,nan,nan,nan,nan,nan,nan,141.0,130.0,195.0,nan,1.0,69.0,5.0,1.0,2.0,nan,1.0,nan,nan,1.0,5.0,183.0,3.0,95.0,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,2.0,1.0,7.0,nan,5.0,5.0,nan,nan,nan,nan,nan
Peak_Fre_50,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,9.0,2.0,nan,1.0,7.0,2.0,1.0,2.0,nan,1.0,nan,nan,1.0,2.0,4.0,2.0,7.0,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,2.0,1.0,4.0,nan,3.0,2.0,nan,nan,nan,nan,nan
Peak_50,nan,7.85,7.85,7.85,nan,7.85,nan,nan,7.85,nan,7.85,7.85,7.85,7.85,7.85,7.85,7.85,7.85,7.85,7.85,7.85,nan,nan,7.85,7.85,7.85,7.85,7.85,7.85,7.85,7.85,7.85,7.85,nan,nan,nan,7.85,nan,7.85,7.85,7.85,7.85,7.85,7.85,7.85,7.85,7.85,7.85,7.85
Dur_2,nan,61.0,nan,nan,nan,nan,nan,nan,nan,nan,59.0,1.0,123.0,nan,nan,3.0,1.0,nan,nan,nan,1.0,nan,nan,1.0,2.0,110.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,2.0,nan,nan,nan,nan,nan
Fre_2,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.0,3.0,nan,nan,2.0,1.0,nan,nan,nan,1.0,nan,nan,1.0,1.0,4.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,1.0,nan,nan,nan,nan,nan
High_2,nan,22.0,22.0,22.0,nan,22.0,nan,nan,22.0,nan,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,nan,nan,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,nan,nan,nan,22.0,nan,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
