Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991
Peak_2,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997,8593.199999999997
Peak_Dur_5,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_5,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997,6999.999999999997
Peak_Dur_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
Peak_10,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0,6274.0
Peak_Dur_20,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,5.0,nan,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,13.0,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_20,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,5.0,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_20,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002,5480.000000000002
Peak_Dur_50,17.0,nan,nan,5.0,18.0,3.0,15.0,nan,nan,nan,nan,6.0,nan,4.0,nan,25.0,nan,39.0,nan,nan,nan,12.0,6.0,17.0,nan,nan,20.0,7.0,14.0,nan,15.0,48.0,1.0,nan,13.0,nan,nan,nan,nan,2.0
Peak_Fre_50,1.0,nan,nan,1.0,8.0,1.0,2.0,nan,nan,nan,nan,2.0,nan,2.0,nan,2.0,nan,3.0,nan,nan,nan,3.0,2.0,2.0,nan,nan,4.0,2.0,4.0,nan,5.0,4.0,1.0,nan,2.0,nan,nan,nan,nan,1.0
Peak_50,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0,3615.0
Dur_2,17.0,nan,nan,5.0,18.0,3.0,15.0,nan,nan,nan,nan,6.0,nan,4.0,nan,26.0,nan,39.0,nan,nan,nan,12.0,6.0,18.0,nan,nan,21.0,8.0,15.0,nan,16.0,49.0,2.0,nan,13.0,nan,nan,nan,nan,2.0
Fre_2,1.0,nan,nan,1.0,8.0,1.0,2.0,nan,nan,nan,nan,2.0,nan,2.0,nan,3.0,nan,3.0,nan,nan,nan,3.0,2.0,2.0,nan,nan,3.0,2.0,4.0,nan,5.0,3.0,2.0,nan,2.0,nan,nan,nan,nan,1.0
High_2,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
Dur_5,41.0,2.0,6.0,12.0,45.0,11.0,42.0,nan,nan,nan,27.0,24.0,nan,23.0,nan,42.0,nan,66.0,2.0,8.0,nan,34.0,33.0,32.0,nan,nan,51.0,20.0,38.0,1.0,56.0,59.0,18.0,nan,34.0,nan,nan,nan,nan,8.0
Fre_5,5.0,1.0,2.0,3.0,3.0,2.0,5.0,nan,nan,nan,4.0,6.0,nan,6.0,nan,1.0,nan,3.0,1.0,2.0,nan,2.0,2.0,2.0,nan,nan,7.0,2.0,4.0,1.0,5.0,2.0,2.0,nan,4.0,nan,nan,nan,nan,3.0
High_5,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0
Dur_10,66.0,14.0,19.0,24.0,66.0,36.0,70.0,2.0,5.0,nan,58.0,57.0,15.0,59.0,27.0,89.0,5.0,89.0,27.0,25.0,17.0,50.0,48.0,39.0,nan,1.0,86.0,35.0,81.0,26.0,100.0,85.0,30.0,12.0,65.0,2.0,1.0,13.0,nan,25.0
Fre_10,6.0,3.0,2.0,4.0,8.0,5.0,3.0,1.0,3.0,nan,5.0,6.0,3.0,7.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,nan,1.0,3.0,2.0,8.0,4.0,5.0,3.0,1.0,4.0,5.0,1.0,1.0,2.0,nan,4.0
High_10,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0,1720.0
Dur_20,124.0,67.0,79.0,57.0,111.0,68.0,120.0,55.0,47.0,24.0,109.0,86.0,51.0,108.0,72.0,101.0,37.0,121.0,60.0,61.0,56.0,76.0,82.0,68.0,15.0,8.0,117.0,68.0,121.0,54.0,133.0,112.0,81.0,64.0,117.0,34.0,24.0,65.0,26.0,53.0
Fre_20,1.0,6.0,2.0,2.0,6.0,2.0,2.0,9.0,4.0,4.0,4.0,4.0,2.0,5.0,6.0,2.0,4.0,5.0,6.0,5.0,3.0,1.0,7.0,1.0,3.0,2.0,7.0,4.0,4.0,3.0,7.0,6.0,6.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0
High_20,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0,930.0
