Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Peak_Dur_2,nan,1.0,nan,nan,nan,3.0,nan,1.0,1.0,nan,1.0,nan,3.0,nan,2.0,2.0,1.0,nan,2.0,6.0,1.0,nan,1.0,2.0,nan,nan,nan,1.0,nan,1.0,nan
Peak_Dur_5,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,2.0,2.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,nan,1.0,nan,nan,nan,2.0,nan,1.0,1.0,nan,1.0,nan,2.0,nan,2.0,1.0,1.0,nan,1.0,4.0,1.0,nan,1.0,1.0,nan,nan,nan,1.0,nan,1.0,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,1.0,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan
SP_Mag,1000.0,2690.0,1360.0,1060.0,1720.0,2880.0,1590.0,5520.0,4180.0,4080.0,461.0,891.0,1620.0,6040.0,4140.0,2730.0,2590.0,4300.0,1240.0,2000.0,10000.0,427.0,3320.0,10100.0,558.0,1420.0,130.0,3270.0,1810.0,3150.0,5560.0
SP_Tim,219.0,173.0,254.0,213.0,207.0,227.0,235.0,187.0,147.0,162.0,248.0,177.0,224.0,115.0,204.0,197.0,238.0,171.0,226.0,156.0,180.0,237.0,175.0,186.0,247.0,198.0,242.0,210.0,222.0,170.0,179.0
SP_Dur,43.0,112.0,37.0,30.0,62.0,48.0,41.0,98.0,117.0,101.0,24.0,89.0,37.0,31.0,48.0,43.0,46.0,73.0,50.0,69.0,110.0,40.0,82.0,48.0,35.0,137.0,33.0,54.0,35.0,12.0,89.0
SP_ROC,0.05525412909917817,0.04895104895104895,0.05625,0.041666666666666664,0.07008547008547009,0.0546070460704607,0.06977471839799751,0.056451612903225805,0.046400073797334074,0.07425260993356533,0.058091286307053944,0.046296296296296294,0.06165540540540541,0.04716766539426638,0.05332107843137255,0.04504830917874396,0.06201550387596899,0.044877942458587616,0.042986425339366516,0.04145825438928887,0.057971014492753624,0.056179775280898875,0.05128579777907656,0.05264348317783432,0.0546448087431694,0.06217616580310881,0.21428571428571427,0.04781997187060478,0.06443462552485109,0.06205673758865248,0.06086956521739131
DS_Mag_50,35.0,69.0,65.0,66.0,24.0,114.0,60.0,107.0,38.0,12.0,26.0,16.0,53.0,104.5,48.0,20.0,77.0,39.0,80.0,45.5,74.0,29.0,56.0,130.5,79.0,40.5,23.0,57.0,42.0,94.0,17.0
DS_Mag_90,99.70000000000002,126.3,101.6,154.40000000000006,55.89999999999999,206.80000000000007,366.20000000000005,145.8,89.0,43.80000000000001,82.0,43.0,139.4,233.0,109.20000000000016,59.20000000000027,187.2000000000001,265.0,151.0,161.30000000000004,141.0,136.20000000000002,144.0,312.40000000000003,224.50000000000009,55.5,111.80000000000007,119.0,330.8,448.0,103.0
DS_Tim,262.0,285.0,291.0,243.0,269.0,275.0,276.0,285.0,264.0,263.0,272.0,266.0,261.0,146.0,252.0,240.0,284.0,244.0,276.0,225.0,290.0,277.0,257.0,234.0,282.0,335.0,275.0,264.0,257.0,182.0,268.0
DS_Dur_WS,142.0,138.0,108.0,157.0,138.0,218.0,159.0,163.0,197.0,142.0,140.0,104.0,134.0,272.0,153.0,159.0,164.0,188.0,156.0,172.0,129.0,119.0,141.0,214.0,144.0,56.0,158.0,196.0,183.0,241.0,155.0
