Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Peak_Dur_2,1.0,nan,nan,1.0,nan,nan,nan,nan,2.0,1.0,1.0,4.0,nan,nan,5.0,nan,nan,nan,nan,5.0,nan,4.0,1.0,1.0,10.0,2.0,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,5.0,2.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,4.0,2.0,nan
Peak_Fre_2,1.0,nan,nan,1.0,nan,nan,nan,nan,2.0,1.0,1.0,4.0,nan,nan,4.0,nan,nan,nan,nan,4.0,nan,2.0,1.0,1.0,5.0,1.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,2.0,1.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,1.0,nan
SP_Mag,469.0,61.0,72.0,144.0,153.0,12.0,nan,132.0,183.0,289.0,368.0,27.0,212.0,nan,146.0,5.2,333.0,nan,nan,173.0,380.0,195.0,310.0,180.0,137.0,1250.0,0.25
SP_Tim,142.0,134.0,128.0,160.0,199.0,116.0,nan,130.0,209.0,145.0,163.0,159.0,111.0,nan,174.0,202.0,175.0,nan,nan,162.0,181.0,160.0,175.0,196.0,213.0,89.0,196.0
SP_Dur,24.0,90.0,108.0,14.0,35.0,111.0,nan,34.0,67.0,84.0,36.0,36.0,106.0,nan,32.0,22.0,28.0,nan,nan,35.0,18.0,20.0,15.0,31.0,25.0,134.0,15.0
SP_ROC,0.1081081081081082,0.2222222222222223,0.19999999999999996,0.1250000000000001,0.1250000000000001,1.0,nan,0.09999999999999998,0.19210526315789467,0.150375939849624,0.07523584905660372,0.08578431372549021,0.16666666666666663,nan,0.08695652173913043,0.33333333333333326,0.09545454545454546,nan,nan,0.08893280632411067,0.36754385964912284,0.10056179775280902,0.08108108108108115,0.08666666666666664,0.07217261904761901,0.08641975308641967,0.13068181818181815
DS_Mag_50,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
DS_Mag_90,0.5,0.0,0.0,0.5,0.2,nan,nan,0.6,0.0,0.2,4.1,0.8,nan,nan,1.4,0.0,nan,nan,nan,0.6,0.21000000000000002,2.0,0.6720000000000004,5.340000000000003,2.8,0.19,0.058000000000000114
DS_Tim,166.0,224.0,236.0,174.0,234.0,227.0,nan,164.0,276.0,229.0,199.0,195.0,217.0,nan,206.0,224.0,203.0,nan,nan,197.0,199.0,180.0,190.0,227.0,238.0,223.0,211.0
DS_Dur_WS,311.0,249.0,254.0,304.0,159.0,nan,nan,305.0,192.0,236.0,241.0,221.0,nan,nan,236.0,266.0,nan,nan,nan,268.0,246.0,291.0,247.0,244.0,172.0,190.0,202.0
