Year,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peak_Fre_5,1.0,nan,nan,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan
Peak_Fre_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,493.0,116.0,165.0,161.0,2030.0,90.0,9.5,2.8,220.0,336.0,201.0,260.0,1250.0,320.0,576.0,188.0,935.0,77.0,36.0,234.0,19.0,722.0,145.0,122.0,364.0,nan,nan,nan,nan,nan,nan,nan,76.4,119.0,462.0,169.0,nan,nan,249.0,344.0,281.0,1140.0,829.0,689.0,40.6,302.0
SP_Tim,158.0,181.0,132.0,175.0,186.0,191.0,197.0,227.0,200.0,182.0,161.0,176.0,196.0,215.0,91.0,182.0,170.0,177.0,125.0,173.0,244.0,180.0,178.0,181.0,146.0,nan,nan,nan,nan,nan,nan,nan,178.0,218.0,152.0,194.0,nan,nan,150.0,158.0,197.0,178.0,199.0,88.0,187.0,135.0
SP_Dur,32.0,48.0,49.0,43.0,130.0,58.0,149.0,67.0,40.0,30.0,121.0,42.0,29.0,43.0,174.0,44.0,35.0,27.0,120.0,28.0,37.0,19.0,28.0,75.0,117.0,nan,nan,nan,nan,nan,nan,nan,66.0,32.0,41.0,23.0,nan,nan,30.0,114.0,41.0,40.0,37.0,189.0,67.0,27.0
SP_ROC,0.05714285714285714,0.08,0.08072916666666666,0.06060606060606061,0.05882352941176468,0.054093567251461985,0.1471861471861472,0.1609145815358067,0.06666666666666667,0.06896551724137931,0.07019704433497537,0.07900207900207903,0.04918032786885246,0.06256109481915934,0.06060606060606061,0.06458333333333333,0.04957160342717258,0.07042253521126761,0.10344827586206891,0.08712121212121213,0.0976933514246947,0.09545454545454543,0.07142857142857142,0.0734006734006734,0.08975834292289986,nan,nan,nan,nan,nan,nan,nan,0.04435058078141498,0.057692307692307654,0.06213017751479284,0.05219780219780216,nan,nan,0.061548174791459354,0.0628485130111524,0.07213812677388835,0.05928853754940711,0.060914200216259845,0.03846153846153849,0.10576923076923073,0.058823529411764795
DS_Mag_50,3.0,1.55,0.785,3.4,3.9,3.5,0.29,0.0,1.9,3.0,2.3,0.275,7.9,8.3,2.3,1.8,3.7,0.11,0.01,0.65,0.72,0.99,1.2,2.6500000000000004,nan,nan,nan,nan,nan,nan,nan,nan,1.52,2.505,2.98,nan,nan,nan,1.46,1.65,3.27,5.15,1.63,0.59,0.0,0.54
DS_Mag_90,12.0,7.7,6.55,12.0,6.4,7.3,0.92,0.8580000000000008,11.0,12.0,3.7,11.900000000000006,32.0,15.599999999999994,5.05,10.0,13.0,2.9,1.5400000000000005,7.2,2.7,5.4,6.700000000000001,6.219999999999999,nan,nan,nan,nan,nan,nan,nan,nan,4.6240000000000006,7.92800000000001,10.188000000000006,nan,nan,nan,6.91,4.526000000000002,9.22,15.4,6.75,1.5,0.15400000000000036,5.4
DS_Tim,190.0,229.0,181.0,218.0,316.0,249.0,346.0,294.0,240.0,212.0,282.0,218.0,225.0,258.0,265.0,226.0,205.0,204.0,245.0,201.0,281.0,199.0,206.0,256.0,263.0,nan,nan,nan,nan,nan,nan,nan,244.0,250.0,193.0,217.0,nan,nan,180.0,272.0,238.0,218.0,236.0,277.0,254.0,162.0
DS_Dur_WS,227.0,190.0,216.0,180.0,133.0,135.0,81.0,144.0,221.0,231.0,194.0,222.0,216.0,145.0,126.0,257.0,271.0,201.0,197.0,178.0,231.0,287.0,245.0,220.0,nan,nan,nan,nan,nan,nan,nan,nan,187.0,174.0,253.0,nan,nan,nan,311.0,193.0,191.0,301.0,181.0,206.0,169.0,261.0
