Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peak_Dur_2,1.0,nan,nan,4.0,2.0,nan,nan,1.0,5.0,nan,17.0,nan,nan,nan,6.0,2.0,2.0,nan,1.0,15.0,2.0,1.0,nan,1.0,7.0,nan,nan,5.0,nan,nan,nan,nan,5.0,2.0,10.0,nan,11.0,2.0,7.0,20.0,nan,2.0,2.0,nan,nan,nan,7.0,3.0,nan,nan,nan,3.0,9.0,nan,nan,nan,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,6.0,nan,nan,nan,1.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,4.0,nan,nan,3.0,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
Peak_Fre_2,1.0,nan,nan,2.0,2.0,nan,nan,1.0,4.0,nan,4.0,nan,nan,nan,5.0,1.0,2.0,nan,1.0,7.0,2.0,1.0,nan,1.0,5.0,nan,nan,3.0,nan,nan,nan,nan,3.0,2.0,5.0,nan,5.0,2.0,5.0,8.0,nan,2.0,1.0,nan,nan,nan,6.0,2.0,nan,nan,nan,2.0,5.0,nan,nan,nan,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,3.0,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan
SP_Mag,324.0,4.6,31.0,222.0,33.0,24.0,70.0,45.0,154.0,3.6,1520.0,182.0,167.0,6.7,133.0,148.0,8.8,279.0,369.0,217.0,39.0,261.0,203.0,779.0,332.0,6.6,7.7,531.0,36.0,10.0,1.9,2.7,785.0,248.0,374.0,215.0,1020.0,154.0,447.0,388.0,177.0,97.0,1410.0,141.0,272.0,184.0,263.0,625.0,1.42,191.0,268.0,698.0,991.0,15.7,139.0,0.85,nan
SP_Tim,147.0,155.0,122.0,160.0,211.0,118.0,198.0,131.0,207.0,189.0,151.0,156.0,85.0,133.0,175.0,187.0,211.0,nan,0.0,176.0,185.0,161.0,173.0,196.0,215.0,192.0,182.0,170.0,176.0,209.0,158.0,158.0,179.0,178.0,180.0,146.0,177.0,167.0,118.0,221.0,197.0,203.0,159.0,98.0,219.0,152.0,177.0,190.0,232.0,151.0,158.0,153.0,175.0,201.0,88.0,187.0,nan
SP_Dur,18.0,86.0,93.0,22.0,19.0,22.0,16.0,34.0,57.0,36.0,70.0,41.0,188.0,62.0,18.0,23.0,25.0,nan,nan,57.0,143.0,98.0,49.0,51.0,55.0,46.0,54.0,56.0,42.0,23.0,85.0,62.0,15.0,16.0,16.0,118.0,29.0,11.0,20.0,53.0,63.0,16.0,80.0,158.0,13.0,14.0,59.0,64.0,113.0,9.0,64.0,65.0,42.0,90.0,35.0,34.0,nan
SP_ROC,0.12043356081894824,0.2222222222222223,0.18181818181818185,0.14614121510673228,0.2523809523809524,0.11111111111111108,0.27472527472527475,0.15250965250965248,0.07417582417582418,0.07878411910669982,0.125,0.1111111111111112,0.12820512820512817,0.12857142857142853,0.3333333333333333,0.09999999999999994,0.09756097560975598,nan,nan,0.10526315789473684,0.07692307692307698,0.08333333333333337,0.07950157950157957,0.08847826086956523,0.05090595340811044,0.07106812447434813,0.06797235023041473,0.11428571428571425,0.09999999999999998,0.21428571428571416,0.11764705882352951,0.08012820512820511,0.19579081632653067,0.1333333333333333,0.08012820512820512,0.0869565217391305,0.07692307692307693,0.07774914089347076,0.07334525939177103,0.04800307219662058,0.040816326530612276,0.05660377358490563,0.09523809523809532,0.07746478873239428,0.29956726986624704,0.07753413072369218,0.10977701543739274,0.11675126903553304,0.14285714285714296,0.11926203105939118,0.11428571428571424,0.14101057579318452,0.05882352941176473,0.08571428571428563,0.05000000000000014,0.23076923076923075,nan
DS_Mag_50,0.7,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.19,0.2,2.4,0.52,0.4,0.32,0.35,1.6,nan,nan,0.13,1.45,1.8,1.45,0.92,0.76,8.7,2.0,1.3,2.0,0.49,0.14,0.08,0.06,0.08,0.07,1.0,0.64,2.1,2.0,2.6,7.75,2.8,1.7,0.99,0.22,0.31,0.35,0.54,0.23,0.84,0.15,0.02,0.06,1.02,0.58,0.0,nan,nan
DS_Mag_90,1.9,0.2,0.9,0.4,0.3,0.6,0.1,0.2,0.23,1.3900000000000003,6.680000000000001,1.9,0.7,1.5,3.4,4.7600000000000025,nan,nan,0.21,5.6,3.2,2.95,7.5,3.6000000000000005,18.299999999999997,2.5,4.230000000000001,3.1,1.4,0.37,0.12,0.12900000000000034,1.1,0.16,3.3,1.9,12.0,6.129999999999997,23.0,12.5,4.8,3.6,1.35,1.81,1.88,1.3120000000000003,1.7399999999999998,1.245,1.138,1.5010000000000003,1.2,1.472,6.262,1.6159999999999999,1.375,nan,nan
DS_Tim,165.0,241.0,215.0,182.0,230.0,140.0,214.0,165.0,264.0,225.0,221.0,197.0,273.0,195.0,193.0,210.0,236.0,230.0,315.0,233.0,328.0,259.0,222.0,247.0,270.0,238.0,236.0,226.0,218.0,232.0,243.0,220.0,194.0,194.0,196.0,264.0,206.0,178.0,138.0,274.0,260.0,219.0,239.0,256.0,232.0,166.0,236.0,254.0,345.0,160.0,222.0,218.0,217.0,291.0,123.0,221.0,nan
DS_Dur_WS,292.0,162.0,271.0,297.0,174.0,299.0,190.0,255.0,133.0,242.0,237.0,217.0,144.0,267.0,251.0,268.0,nan,nan,129.0,226.0,119.0,216.0,292.0,195.0,128.0,145.0,248.0,265.0,207.0,145.0,145.0,292.0,294.0,257.0,278.0,194.0,273.0,250.0,320.0,186.0,211.0,242.0,161.0,172.0,248.0,279.0,215.0,126.0,113.0,330.0,243.0,230.0,175.0,123.0,276.0,nan,nan
