Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
Peak_Fre_2,nan,2.0,nan,nan,nan,1.0,nan,5.0,nan,nan,nan,1.0,nan,nan,nan,3.0,4.0,nan,5.0,1.0,1.0,1.0,2.0,1.0,nan,nan,nan,4.0,1.0,1.0,nan,1.0,4.0
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,1.0
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,1.0
SP_Mag,2.3,92.0,3.6,12.0,72.0,397.0,77.0,659.0,155.0,48.0,17.0,1310.0,19.0,38.0,114.0,1110.0,138.0,8.4,1500.0,142.0,33.0,94.0,34.0,63.0,12.0,nan,40.0,1860.0,220.0,148.0,22.0,242.0,1610.0
SP_Tim,214.0,171.0,212.0,184.0,215.0,121.0,149.0,188.0,142.0,213.0,121.0,136.0,211.0,187.0,194.0,93.0,206.0,188.0,151.0,155.0,167.0,89.0,176.0,162.0,191.0,nan,224.0,158.0,182.0,161.0,174.0,186.0,155.0
SP_Dur,32.0,188.0,83.0,36.0,42.0,112.0,96.0,41.0,76.0,10.0,85.0,17.0,16.0,12.0,20.0,92.0,31.0,56.0,29.0,12.0,61.0,108.0,26.0,10.0,17.0,nan,21.0,10.0,48.0,31.0,69.0,32.0,99.0
SP_ROC,1.0,0.09600614439324125,0.1250000000000001,0.19999999999999996,0.3095238095238094,0.25000000000000006,0.28571428571428564,0.09375,0.39855072463768115,0.45833333333333337,0.33333333333333326,0.20833333333333334,0.25000000000000006,0.1833333333333333,0.19999999999999996,0.0845238095238095,0.06756756756756756,0.1180555555555556,0.05718954248366013,0.15000000000000002,0.13392857142857145,0.15384615384615388,0.09999999999999994,0.23787878787878788,0.25697865353037763,nan,0.42261904761904756,0.12121212121212122,0.040816326530612276,0.07692307692307693,0.26666666666666666,0.15438786565547125,0.0859649122807018
DS_Mag_50,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.75,0.0,1.3,0.02,0.36,0.0,0.01,0.0,nan,nan,0.0,1.3,0.13,0.98,0.0,0.0,1.2
DS_Mag_90,0.8,1.5,0.5,0.2,0.5,0.0,0.3,3.0,0.0,0.0,0.4,4.459999999999997,0.1,0.1,0.1,0.7900000000000007,4.9,0.18,7.7,1.6,0.83,0.20800000000000068,1.0,0.54,nan,nan,3.5,20.099999999999994,1.8,7.1,0.0,0.4159999999999997,5.340000000000003
DS_Tim,246.0,359.0,295.0,220.0,257.0,233.0,245.0,229.0,218.0,223.0,206.0,153.0,227.0,199.0,214.0,185.0,237.0,244.0,180.0,167.0,228.0,197.0,202.0,172.0,208.0,nan,245.0,168.0,230.0,192.0,243.0,218.0,254.0
DS_Dur_WS,205.0,38.0,170.0,234.0,187.0,223.0,191.0,226.0,233.0,164.0,278.0,329.0,170.0,235.0,188.0,212.0,164.0,223.0,312.0,246.0,210.0,264.0,249.0,249.0,nan,nan,240.0,270.0,251.0,284.0,223.0,255.0,219.0
