Year,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peak_Dur_10,nan,nan,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,1.0,3.0,nan,3.0,5.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,1.0,3.0,4.0,2.0,1.0,nan,nan,1.0,1.0,1.0,2.0,nan,nan,nan,nan,2.0,1.0,1.0,nan,nan
Peak_Fre_5,nan,nan,nan,3.0,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,2.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,18.0,34.0,16.0,279.0,23.0,8.9,10.0,37.0,3.5,10.0,0.85,0.33,30.0,5.0,12.0,19.0,102.0,83.0,126.0,28.0,12.0,39.0,1.3,20.7,19.2,78.2,115.0,58.6,21.8,17.0,31.8,31.4,138.0,107.0,32.4,6.68,24.0
SP_Tim,182.0,160.0,175.0,185.0,213.0,171.0,181.0,165.0,175.0,112.0,209.0,246.0,180.0,171.0,180.0,144.0,177.0,167.0,121.0,189.0,193.0,163.0,180.0,177.0,218.0,152.0,177.0,201.0,153.0,150.0,157.0,197.0,178.0,199.0,89.0,186.0,134.0
SP_Dur,44.0,51.0,63.0,38.0,32.0,56.0,54.0,29.0,44.0,111.0,56.0,89.0,49.0,49.0,37.0,104.0,45.0,48.0,34.0,61.0,49.0,41.0,64.0,40.0,42.0,56.0,33.0,50.0,72.0,51.0,86.0,73.0,42.0,58.0,68.0,11.0,104.0
SP_ROC,0.07692307692307698,0.05971479500891258,0.1333333333333333,0.08333333333333333,0.06250000000000006,0.0669642857142857,0.09985785358919697,0.06250000000000006,0.0871212121212121,0.16228070175438591,0.07750000000000001,0.75,0.11764705882352938,0.12499999999999993,0.1111111111111112,0.15780141843971623,0.08220720720720724,0.06711711711711714,0.0747728860936408,0.061224489795918505,0.11805555555555555,0.07571428571428579,0.1666666666666666,0.052631578947368356,0.0701754385964911,0.061946902654867124,0.07000000000000003,0.050179211469534094,0.0686868686868686,0.0540540540540541,0.0756578947368421,0.06417112299465245,0.06814831874712116,0.06315789473684205,0.037135539795114234,0.11111111111111106,0.10771632471008022
DS_Mag_50,0.04,0.03,0.0,0.18,0.13,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.16,0.09,0.05,0.0,0.01,0.0,0.0,0.055,0.05,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.0,0.0
DS_Mag_90,0.6240000000000001,0.619,0.63,1.3300000000000012,0.9520000000000002,0.37,0.2,1.1,0.08,0.19,0.0,0.0,0.04,0.12,0.48599999999999993,0.11,1.15,0.9510000000000005,1.1,0.9630000000000001,0.46900000000000003,0.79,0.01,0.44400000000000006,0.06,0.38,1.552,0.42800000000000016,0.07800000000000012,0.21,0.20099999999999996,0.19,0.9810000000000002,0.14099999999999996,0.39,0.06,0.008000000000000115
DS_Tim,226.0,211.0,238.0,223.0,245.0,227.0,235.0,194.0,219.0,223.0,265.0,335.0,229.0,220.0,217.0,248.0,222.0,215.0,155.0,250.0,242.0,204.0,244.0,217.0,260.0,208.0,210.0,251.0,225.0,201.0,243.0,270.0,220.0,257.0,157.0,197.0,238.0
DS_Dur_WS,217.0,262.0,201.0,218.0,157.0,165.0,246.0,281.0,215.0,276.0,178.0,174.0,256.0,231.0,255.0,208.0,246.0,194.0,306.0,218.0,222.0,261.0,171.0,207.0,185.0,241.0,230.0,237.0,213.0,292.0,220.0,170.0,300.0,160.0,320.0,224.0,183.0
