Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Peak_Dur_2,3.0,3.0,nan,nan,nan,2.0,nan,6.0,1.0,nan,nan,1.0,nan,3.0,nan,nan,6.0,nan,4.0,nan,4.0,9.0,1.0,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,2.0,nan,1.0,nan,2.0,nan,nan,nan,nan,nan
Peak_Dur_5,nan,1.0,nan,nan,nan,1.0,nan,5.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,1.0,4.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Dur_10,nan,1.0,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,2.0,1.0,nan,nan,nan,2.0,nan,4.0,1.0,nan,nan,1.0,nan,2.0,nan,nan,5.0,nan,1.0,nan,3.0,4.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,2.0,nan,1.0,nan,2.0,nan,nan,nan,nan,nan
Peak_Fre_5,nan,1.0,nan,nan,nan,1.0,nan,4.0,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,1.0,2.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_10,nan,1.0,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,900.0,920.0,37.0,433.0,360.0,1030.0,189.0,3430.0,1020.0,69.0,300.0,574.0,1190.0,1360.0,52.0,13.0,758.0,1120.0,5800.0,1620.0,5790.0,1670.0,1790.0,464.0,2650.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,277.0,214.0,147.0,1920.0,nan,3010.0,nan,1300.0,2860.0,706.0,nan,nan,2610.0,100.0,nan
SP_Tim,161.0,201.0,222.0,196.0,132.0,209.0,171.0,151.0,158.0,202.0,132.0,175.0,187.0,176.0,197.0,225.0,201.0,183.0,147.0,175.0,196.0,214.0,90.0,182.0,170.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,206.0,179.0,234.0,152.0,nan,190.0,nan,151.0,158.0,198.0,nan,nan,88.0,188.0,nan
SP_Dur,44.0,62.0,50.0,62.0,83.0,72.0,79.0,112.0,56.0,59.0,121.0,58.0,66.0,82.0,54.0,25.0,63.0,79.0,36.0,51.0,63.0,46.0,175.0,82.0,38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,98.0,37.0,65.0,nan,39.0,nan,47.0,23.0,81.0,nan,nan,44.0,61.0,nan
SP_ROC,0.048701298701298704,0.040983606557377046,0.07846153846153847,0.04181235431235431,0.035398230088495575,0.04065040650406504,0.05,0.040980329441867906,0.04226475279106858,0.044466403162055336,0.05555555555555555,0.02974347633790358,0.03756720430107527,0.034722222222222224,0.056179775280898875,0.07564786585365851,0.022222222222222223,0.030776515151515152,0.058823529411764705,0.041286357551417796,0.038838612368024134,0.04710144927536232,0.033426443202979515,0.05263157894736842,0.05555555555555555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.023255813953488372,0.02830188679245283,0.04878048780487805,0.05807418508804796,nan,0.055004622237162785,nan,0.032612548741580996,0.06382978723404255,0.04011461318051576,nan,nan,0.05017985611510792,0.09090909090909091,nan
DS_Mag_50,17.0,16.0,1.4,5.8,2.05,11.0,2.5,13.0,5.9,2.6500000000000004,0.685,12.0,20.0,14.0,2.9,1.9,34.0,21.0,24.0,9.1,25.0,32.0,5.8,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,17.0,20.0,nan,nan,nan,nan,28.0,40.0,nan,nan,nan,7.0,nan,nan
DS_Mag_90,46.0,46.8,28.400000000000006,22.0,13.0,26.0,22.0,29.0,40.20000000000002,11.0,11.0,44.0,53.0,30.0,7.130000000000001,6.2,69.5,39.900000000000006,146.79999999999995,40.20000000000002,56.0,76.9,12.0,90.29999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62.0,30.0,63.60000000000002,nan,nan,nan,nan,50.30000000000001,84.0,nan,nan,nan,37.0,nan,nan
DS_Tim,205.0,263.0,272.0,258.0,215.0,281.0,250.0,263.0,214.0,261.0,253.0,233.0,253.0,258.0,251.0,250.0,264.0,262.0,183.0,226.0,259.0,260.0,265.0,264.0,208.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,237.0,277.0,271.0,217.0,nan,229.0,nan,198.0,181.0,279.0,nan,nan,132.0,249.0,nan
DS_Dur_WS,271.0,133.0,167.0,146.0,194.0,142.0,216.0,179.0,199.0,174.0,150.0,171.0,225.0,128.0,178.0,189.0,196.0,182.0,289.0,179.0,151.0,142.0,136.0,220.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,167.0,120.0,148.0,nan,nan,nan,nan,278.0,190.0,nan,nan,nan,354.0,nan,nan
