Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Peak_Dur_2,nan,6.0,nan,nan,nan,nan,nan,20.0,1.0,nan,nan,5.0,nan,nan,nan,9.0,2.0,nan,20.0,2.0,1.0,nan,4.0,2.0,4.0,2.0,nan,21.0,1.0,10.0,nan
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,nan,nan,nan,1.0,nan,nan,5.0,nan,nan,nan,1.0,nan,nan,nan,nan,3.0,nan,2.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,1.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan
Peak_Fre_2,nan,2.0,nan,nan,nan,nan,nan,5.0,1.0,nan,nan,2.0,nan,nan,nan,3.0,1.0,nan,4.0,1.0,1.0,nan,2.0,1.0,1.0,1.0,nan,4.0,1.0,2.0,nan
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan,2.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.0,nan,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan
SP_Mag,3.0,728.0,6.3,46.0,7.0,7.0,9.0,2390.0,778.0,7.2,2.6,3480.0,10.0,4.1,404.0,251.0,24.0,20.0,6250.0,403.0,153.0,337.0,178.0,138.0,183.0,483.0,11.0,187.0,205.0,250.0,112.0
SP_Tim,214.0,171.0,265.0,185.0,242.0,257.0,236.0,188.0,142.0,217.0,201.0,137.0,225.0,231.0,189.0,118.0,283.0,173.0,151.0,158.0,144.0,93.0,178.0,210.0,216.0,137.0,238.0,236.0,245.0,185.0,208.0
SP_Dur,100.0,62.0,69.0,162.0,71.0,7.0,79.0,58.0,125.0,81.0,143.0,74.0,76.0,75.0,38.0,178.0,40.0,184.0,161.0,189.0,145.0,26.0,138.0,78.0,84.0,136.0,67.0,51.0,69.0,60.0,121.0
SP_ROC,0.13392857142857145,0.07272727272727272,0.03823051948051946,0.06862745098039214,0.05827702702702708,0.12485311398354873,0.04880952380952385,0.0625,0.08333333333333333,0.08012820512820511,0.09999999999999998,0.05,0.06120316465144052,0.119815668202765,0.12280701754385964,0.08012820512820512,0.17708333333333331,0.043478260869565064,0.05064102564102564,0.04687500000000011,0.06066176470588233,0.1951219512195122,0.06470588235294117,0.040816326530612276,0.055555555555555684,0.07417582417582418,0.08163265306122455,0.06666666666666667,0.07264957264957266,0.03125,0.050632911392405104
DS_Mag_50,0.5,6.75,3.2,3.2,1.7,2.8,1.8,6.4,2.1,0.8,0.6,4.0,1.9,1.7,2.3,3.5,nan,3.0,6.7,2.9,2.6,3.7,5.5,2.5,2.8,nan,0.99,8.3,4.4,5.8,4.5
DS_Mag_90,2.1,18.0,5.0,3.5,4.1,4.5,5.2,20.700000000000017,3.1,1.0,6.2,18.0,2.8,10.0,8.0,6.6,nan,3.4900000000000007,6.8,3.32,4.0,13.0,6.0,3.7,3.8,nan,1.5800000000000067,16.0,11.800000000000068,18.0,6.840000000000003
DS_Tim,314.0,233.0,334.0,347.0,313.0,264.0,315.0,246.0,267.0,298.0,344.0,211.0,301.0,306.0,227.0,296.0,323.0,357.0,312.0,347.0,289.0,119.0,316.0,288.0,300.0,273.0,305.0,287.0,314.0,245.0,329.0
DS_Dur_WS,149.0,218.0,159.0,195.0,165.0,249.0,170.0,234.0,115.0,93.0,143.0,276.0,106.0,232.0,179.0,126.0,nan,112.0,116.0,69.0,117.0,351.0,87.0,137.0,102.0,nan,159.0,181.0,169.0,263.0,179.0
