Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Peak_Dur_2,nan,7.0,nan,1.0,nan,2.0,1.0,44.0,nan,nan,nan,9.0,nan,nan,nan,23.0,24.0,nan,82.0,nan,1.0,1.0,2.0,nan,nan,1.0,nan,89.0,3.0
Peak_Dur_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,5.0,1.0,nan,9.0,nan,nan,nan,1.0,nan,nan,nan,nan,11.0,nan
Peak_Dur_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan
Peak_Fre_2,nan,3.0,nan,1.0,nan,1.0,1.0,6.0,nan,nan,nan,1.0,nan,nan,nan,3.0,9.0,nan,3.0,nan,1.0,1.0,1.0,nan,nan,1.0,nan,5.0,2.0
Peak_Fre_5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,2.0,1.0,nan,3.0,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,nan
Peak_Fre_10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan
SP_Mag,16.0,341.0,40.0,210.0,76.0,77.0,108.0,629.0,83.0,34.0,18.0,461.0,36.0,53.0,170.0,764.0,485.0,174.0,3460.0,106.0,117.0,134.0,161.0,112.0,63.0,389.0,97.0,5200.0,276.0
SP_Tim,220.0,193.0,109.0,194.0,227.0,230.0,155.0,192.0,148.0,222.0,125.0,142.0,216.0,205.0,212.0,96.0,234.0,163.0,152.0,163.0,115.0,98.0,143.0,173.0,228.0,346.0,239.0,158.0,212.0
SP_Dur,103.0,102.0,185.0,91.0,87.0,64.0,163.0,119.0,139.0,77.0,147.0,147.0,85.0,88.0,99.0,62.0,76.0,130.0,138.0,110.0,190.0,65.0,158.0,135.0,72.0,nan,104.0,141.0,77.0
SP_ROC,0.03846153846153849,0.03195703667401781,0.043478260869565216,0.03333333333333333,0.06557377049180328,0.03684922244759973,0.04,0.03,0.04083333333333333,0.051315789473684204,0.07142857142857142,0.03125,0.052631578947368356,0.047619047619047616,0.05263157894736842,0.04032258064516129,0.04210992907801418,0.034482758620689655,0.028436657681940702,0.03488372093023256,0.04257246376811594,0.034482758620689655,0.0260334312175288,0.0339080459770115,0.05263157894736842,nan,0.05,0.04238921001926782,0.025988578038025012
DS_Mag_50,3.0,nan,7.7,19.0,15.0,13.0,16.0,23.0,11.0,5.9,3.4,15.0,7.6,11.0,9.9,29.0,36.0,16.0,36.0,16.0,11.0,12.0,20.0,12.0,12.0,17.0,13.0,40.0,34.5
DS_Mag_90,9.8,nan,10.0,25.5,18.0,16.0,22.200000000000003,38.0,14.0,7.519999999999999,21.900000000000006,25.200000000000017,14.400000000000006,17.0,13.0,88.0,52.20000000000002,20.0,65.6,19.900000000000006,13.0,24.0,32.70000000000002,16.0,15.0,31.0,18.400000000000006,70.0,54.0
DS_Tim,323.0,295.0,294.0,285.0,314.0,294.0,318.0,311.0,287.0,299.0,272.0,289.0,301.0,293.0,311.0,158.0,310.0,293.0,290.0,273.0,305.0,163.0,301.0,308.0,300.0,312.0,343.0,299.0,289.0
DS_Dur_WS,104.0,nan,177.0,166.0,158.0,164.0,119.0,180.0,145.0,93.0,212.0,189.0,97.0,248.0,95.0,262.0,95.0,175.0,205.0,142.0,134.0,307.0,154.0,175.0,187.0,141.0,119.0,160.0,170.0
