Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
Peak_Dur_2,3.0,1.0,1.0,nan,6.0,2.0,1.0,nan,1.0,nan,nan,5.0,nan,7.0,nan,nan,nan,4.0,8.0,1.0,nan,nan,5.0,nan,nan,nan,nan,nan,6.0,nan,11.0,5.0,3.0,nan,9.0
Peak_Dur_5,nan,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,3.0,nan,4.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,3.0
Peak_Dur_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0
Peak_Fre_2,1.0,1.0,1.0,nan,1.0,1.0,1.0,nan,1.0,nan,nan,2.0,nan,1.0,nan,nan,nan,2.0,3.0,1.0,nan,nan,4.0,nan,nan,nan,nan,nan,2.0,nan,4.0,2.0,1.0,nan,2.0
Peak_Fre_5,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,2.0,nan,1.0,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,2.0
Peak_Fre_10,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
SP_Mag,13200.0,3970.0,4040.0,2640.0,26000.0,4110.0,6500.0,1950.0,4200.0,1710.0,3560.0,6650.0,2300.0,19500.0,2640.0,4360.0,5440.0,7440.0,20600.0,5400.0,4590.0,4650.0,14000.0,5260.0,1120.0,502.0,4250.0,3700.0,7790.0,2040.0,7320.0,7220.0,17000.0,3440.0,12900.0
SP_Tim,213.0,217.0,204.0,236.0,90.0,236.0,221.0,211.0,183.0,234.0,220.0,200.0,229.0,90.0,225.0,265.0,151.0,227.0,117.0,231.0,192.0,230.0,185.0,247.0,218.0,242.0,230.0,234.0,148.0,210.0,202.0,257.0,90.0,200.0,147.0
SP_Dur,106.0,96.0,88.0,73.0,196.0,54.0,89.0,87.0,107.0,71.0,80.0,87.0,95.0,193.0,70.0,54.0,135.0,80.0,168.0,85.0,106.0,77.0,119.0,65.0,121.0,99.0,82.0,54.0,152.0,88.0,100.0,59.0,196.0,87.0,79.0
SP_ROC,0.03942652329749104,0.043323967805808154,0.03858560794044665,0.033426183844011144,0.05739650703679481,0.03514376996805112,0.04708520179372197,0.033816425120772944,0.044075113317504855,0.04,0.04736842105263158,0.04979846010927241,0.031696437541441455,0.04950980392156863,0.035181632526765275,0.04262295081967213,0.04518728222996515,0.03870967741935484,0.042735042735042736,0.04113110539845758,0.037102473498233215,0.035164835164835165,0.05016722408026756,0.04143126177024482,0.03225806451612903,0.02114687122191187,0.03844658079771016,0.037463976945244955,0.03757567809761109,0.03454926624737946,0.03535353535353535,0.03712105790611005,0.03544124071647008,0.03225806451612903,0.04985542604138429
DS_Mag_50,269.0,263.0,221.0,135.0,283.5,274.0,248.0,145.0,131.0,146.0,147.0,230.0,138.5,322.5,123.0,271.5,197.5,262.0,180.0,294.0,209.5,206.5,311.0,283.5,144.0,113.0,219.0,280.0,229.0,135.0,369.0,432.0,275.0,232.0,347.5
DS_Mag_90,554.1000000000001,506.60000000000014,535.8000000000001,281.0000000000001,423.6,966.2000000000004,302.6,213.60000000000002,173.8,339.80000000000024,200.0,317.3,335.9000000000003,649.3000000000002,148.0,393.50000000000006,745.7,343.5,307.0,460.4000000000001,647.8000000000001,361.0000000000001,639.2,345.5,176.0,188.60000000000002,383.80000000000007,484.0,290.2,344.6,703.1999999999998,555.0,387.2,1052.0000000000002,1310.0
DS_Tim,319.0,313.0,292.0,309.0,286.0,290.0,310.0,298.0,290.0,305.0,300.0,287.0,324.0,283.0,295.0,319.0,286.0,307.0,285.0,316.0,298.0,307.0,304.0,312.0,339.0,341.0,312.0,288.0,300.0,298.0,302.0,316.0,286.0,287.0,226.0
DS_Dur_WS,134.0,157.0,219.0,127.0,212.0,189.0,139.0,178.0,115.0,183.0,70.0,110.0,100.0,222.0,111.0,144.0,174.0,126.0,121.0,157.0,132.0,90.0,183.0,56.0,101.0,94.0,184.0,166.0,123.0,105.0,108.0,81.0,109.0,197.0,258.0
