Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Peak_Dur_2,8.0,18.0,1.0,1.0,nan,6.0,2.0,9.0,nan,nan,nan,nan,3.0,nan,4.0,nan,10.0,nan,16.0,3.0,nan,nan,1.0,1.0,4.0,nan,nan,nan,nan,3.0,nan,6.0,27.0,4.0,nan,4.0,nan,nan,nan
Peak_Dur_5,6.0,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,3.0,nan,nan,nan,4.0,nan,nan,nan
Peak_Dur_10,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Peak_Fre_2,3.0,4.0,1.0,1.0,nan,3.0,1.0,1.0,nan,nan,nan,nan,2.0,nan,1.0,nan,3.0,nan,6.0,2.0,nan,nan,1.0,1.0,2.0,nan,nan,nan,nan,1.0,nan,3.0,5.0,3.0,nan,2.0,nan,nan,nan
Peak_Fre_5,3.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,3.0,nan,nan,nan,2.0,nan,nan,nan
Peak_Fre_10,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SP_Mag,11100.0,4380.0,2150.0,2130.0,2030.0,3340.0,1870.0,4800.0,1040.0,1560.0,835.0,1830.0,2690.0,1450.0,2030.0,1380.0,3500.0,1030.0,4050.0,2170.0,1450.0,1060.0,3560.0,2550.0,4120.0,795.0,328.0,2620.0,2920.0,2710.0,1970.0,3100.0,5780.0,1750.0,1650.0,2110.0,662.0,628.0,1140.0
SP_Tim,67.0,243.0,234.0,223.0,237.0,240.0,243.0,238.0,228.0,228.0,233.0,248.0,234.0,232.0,245.0,211.0,263.0,237.0,238.0,233.0,254.0,244.0,232.0,242.0,247.0,226.0,240.0,245.0,236.0,237.0,215.0,239.0,257.0,237.0,217.0,244.0,227.0,233.0,194.0
SP_Dur,208.0,57.0,67.0,59.0,42.0,51.0,45.0,78.0,51.0,42.0,39.0,45.0,62.0,56.0,87.0,63.0,50.0,39.0,68.0,54.0,45.0,42.0,51.0,92.0,54.0,132.0,38.0,61.0,45.0,68.0,58.0,69.0,66.0,49.0,64.0,42.0,91.0,57.0,162.0
SP_ROC,0.057971014492753624,0.08341063698206555,0.08974358974358974,0.08121019108280254,0.08780487804878048,0.07409768462469735,0.08851473450097304,0.06514657980456026,0.06196943972835314,0.09163346613545817,0.07547169811320754,0.08936170212765958,0.07233115468409586,0.07672100412572282,0.07713557161070973,0.058823529411764705,0.06918238993710692,0.07900856793145655,0.07398568019093078,0.08657834101382489,0.08450704225352113,0.08597285067873303,0.07168458781362007,0.08586660617059891,0.08,0.05714285714285714,0.08928571428571429,0.08722826086956521,0.08885508226279018,0.07631144642225629,0.08881578947368421,0.07227517612929962,0.0916030534351145,0.0821529745042493,0.07942954638181077,0.07883326763894363,0.08333333333333333,0.05777696258253852,0.058823529411764705
DS_Mag_50,82.5,72.0,50.0,63.0,57.0,59.0,64.5,51.5,27.0,37.0,38.0,51.0,126.0,62.0,106.0,43.0,72.0,56.0,71.0,55.5,58.0,48.0,45.0,65.0,66.0,24.0,30.0,71.0,62.5,53.0,31.0,294.0,101.0,95.0,45.5,35.0,26.0,32.0,36.0
DS_Mag_90,228.10000000000005,269.0,121.80000000000007,145.70000000000002,77.0,82.80000000000001,348.5,84.29999999999998,95.60000000000002,104.60000000000002,163.80000000000004,77.70000000000002,233.0,73.19999999999999,147.0,49.400000000000006,91.0,145.0,97.5,192.50000000000009,127.0,332.0,69.0,321.0,98.0,35.0,253.6999999999999,168.80000000000007,103.0,110.5,64.9,1010.0,135.2,181.8,104.9,87.0,84.70000000000002,82.60000000000002,94.80000000000001
DS_Tim,275.0,300.0,301.0,282.0,279.0,291.0,288.0,316.0,279.0,270.0,272.0,293.0,296.0,288.0,332.0,274.0,313.0,276.0,306.0,287.0,299.0,286.0,283.0,334.0,301.0,358.0,278.0,306.0,281.0,305.0,273.0,308.0,323.0,286.0,281.0,286.0,318.0,290.0,356.0
DS_Dur_WS,264.0,231.0,214.0,254.0,156.0,203.0,256.0,180.0,238.0,258.0,267.0,184.0,231.0,145.0,188.0,147.0,185.0,191.0,136.0,184.0,211.0,261.0,116.0,231.0,86.0,171.0,210.0,212.0,172.0,216.0,132.0,237.0,69.0,242.0,172.0,229.0,174.0,213.0,147.0
